date,gmDAO
2022-01-08,40
2022-01-09,176
2022-01-10,68
2022-01-11,67
2022-01-12,96
2022-01-13,116
2022-01-14,180
2022-01-15,0
2022-01-29,0
2022-01-30,0
2022-01-31,0
2022-02-01,235
2022-02-02,150
2022-02-03,258
2022-02-04,243
2022-02-05,0
2022-02-12,0
2022-02-13,0
2022-02-14,0
2022-02-15,0
2022-02-16,284
2022-02-17,100
2022-02-18,186
2022-02-19,67
2022-02-20,116
2022-02-21,197
2022-02-22,161
2022-02-23,0
2022-02-24,0
2022-02-25,0
2022-02-26,0
2022-04-23,0
2022-04-24,0
2022-04-25,0
2022-04-26,0
2022-04-27,194
2022-04-28,290
2022-04-29,432
2022-04-30,66
2022-05-01,0
2022-05-02,0
2022-05-03,0
2022-05-04,234
2022-05-05,68
2022-05-06,260
2022-05-07,445
2022-05-08,200
2022-05-09,483
2022-05-10,360
2022-05-11,67
2022-05-12,0
2022-05-13,0
2022-05-14,0
2022-05-21,0
2022-05-22,0
2022-05-23,0
2022-05-24,0
2022-05-25,74
2022-05-26,229
2022-05-27,518
2022-05-28,0
2022-05-29,0
2022-05-30,0
2022-05-31,0
2022-06-01,165
2022-06-02,40
2022-06-03,298
2022-06-04,192
2022-06-05,90
2022-06-06,153
2022-06-07,174
2022-06-08,221
2022-06-09,178
2022-06-10,174
2022-06-11,225
2022-06-12,270
2022-06-13,94
2022-06-14,153
2022-06-15,165
2022-06-16,152
2022-06-17,220
2022-06-18,200
2022-06-19,0
2022-06-20,0
2022-06-21,0
2022-06-22,0
2022-06-23,0
2022-06-24,0
2022-06-25,0
2022-07-16,0
2022-07-17,0
2022-07-18,0
2022-07-19,0
2022-07-20,208
2022-07-21,344
2022-07-22,226
2022-07-23,24
2022-07-24,0
2022-07-25,0
2022-07-26,0
2022-07-27,93
2022-07-28,214
2022-07-29,171
2022-07-30,367
2022-07-31,0
2022-08-01,0
2022-08-02,0
2022-08-03,0
2022-08-04,0
2022-08-05,0
2022-08-06,0
2022-08-07,161
2022-08-08,82
2022-08-09,104
2022-08-10,198
2022-08-11,209
2022-08-12,231
2022-08-13,196
2022-08-14,0
2022-08-15,0
2022-08-16,0
2022-08-17,0
2022-08-18,0
2022-08-19,0
2022-08-20,0
2022-08-21,95
2022-08-22,237
2022-08-23,48
2022-08-24,203
2022-08-25,147
2022-08-26,182
2022-08-27,151
2022-08-28,0
2022-08-29,0
2022-08-30,0
2022-08-31,0
2022-09-01,0
2022-09-02,0
2022-09-03,0
2022-09-17,0
2022-09-18,44
2022-09-19,64
2022-09-20,236
2022-09-21,79
2022-09-22,132
2022-09-23,205
2022-09-24,358
2022-09-25,0
2022-09-26,0
2022-09-27,0
2022-09-28,0
2022-09-29,0
2022-09-30,0
2022-10-01,0
2022-10-29,0
2022-10-30,90
2022-10-31,160
2022-11-01,167
2022-11-02,267
2022-11-03,135
2022-11-04,105
2022-11-05,47
